Timestamp,Bandwidth Value,Downtime (raw),Coverage (raw),Sensor ID,Start Time,End Time
45655.04167,7280.2,0.0,10000,1,12/29/2024 02:30:00,03:00:00
45655.02083,7285.3,0.0,10000,1,12/29/2024 02:00:00,02:30:00
45655.0,7374.1,0.0,10000,1,12/29/2024 01:30:00,02:00:00
45654.97917,7395.4,0.0,10000,1,12/29/2024 01:00:00,01:30:00
45654.95833,7445.1333,0.0,10000,1,12/29/2024 00:30:00,01:00:00
45654.9375,7426.6333,0.0,10000,1,12/29/2024 00:00:00,00:30:00
45654.91667,7497.6333,0.0,10000,1,12/28/2024 23:30:00,00:00:00
45654.89583,7516.7,0.0,10000,1,12/28/2024 23:00:00,23:30:00
45654.875,7587.3667,0.0,10000,1,12/28/2024 22:30:00,23:00:00
45654.85417,7597.0667,0.0,10000,1,12/28/2024 22:00:00,22:30:00
45654.83333,7630.2333,0.0,10000,1,12/28/2024 21:30:00,22:00:00
45654.8125,7620.3333,0.0,10000,1,12/28/2024 21:00:00,21:30:00
45654.79167,7596.7667,0.0,10000,1,12/28/2024 20:30:00,21:00:00
45654.77083,7607.9333,0.0,10000,1,12/28/2024 20:00:00,20:30:00
45654.75,7649.0667,0.0,10000,1,12/28/2024 19:30:00,20:00:00
45654.72917,7634.2,0.0,10000,1,12/28/2024 19:00:00,19:30:00
45654.70833,7631.2333,0.0,10000,1,12/28/2024 18:30:00,19:00:00
45654.6875,7613.4,0.0,10000,1,12/28/2024 18:00:00,18:30:00
45654.66667,7656.7,0.0,10000,1,12/28/2024 17:30:00,18:00:00
45654.64583,7668.2667,0.0,10000,1,12/28/2024 17:00:00,17:30:00
45654.625,7698.7333,0.0,10000,1,12/28/2024 16:30:00,17:00:00
45654.60417,7693.2667,0.0,10000,1,12/28/2024 16:00:00,16:30:00
45654.58333,7684.9,0.0,10000,1,12/28/2024 15:30:00,16:00:00
45654.5625,7702.0667,0.0,10000,1,12/28/2024 15:00:00,15:30:00
45654.54167,7838.2333,0.0,10000,1,12/28/2024 14:30:00,15:00:00
45654.52083,7774.6333,0.0,10000,1,12/28/2024 14:00:00,14:30:00
45654.5,7823.3,0.0,10000,1,12/28/2024 13:30:00,14:00:00
45654.47917,7800.8,0.0,10000,1,12/28/2024 13:00:00,13:30:00
45654.45833,7773.5,0.0,10000,1,12/28/2024 12:30:00,13:00:00
45654.4375,7753.1667,0.0,10000,1,12/28/2024 12:00:00,12:30:00
45654.41667,7839.4667,0.0,10000,1,12/28/2024 11:30:00,12:00:00
45654.39583,7811.4333,0.0,10000,1,12/28/2024 11:00:00,11:30:00
45654.375,7820.2,0.0,10000,1,12/28/2024 10:30:00,11:00:00
45654.35417,7713.3667,0.0,10000,1,12/28/2024 10:00:00,10:30:00
45654.33333,7624.9,0.0,10000,1,12/28/2024 09:30:00,10:00:00
45654.3125,7576.3333,0.0,10000,1,12/28/2024 09:00:00,09:30:00
45654.29167,7482.9667,0.0,10000,1,12/28/2024 08:30:00,09:00:00
45654.27083,7416.7,0.0,10000,1,12/28/2024 08:00:00,08:30:00
45654.25,7448.5,0.0,10000,1,12/28/2024 07:30:00,08:00:00
45654.22917,7174.5,0.0,10000,1,12/28/2024 07:00:00,07:30:00
45654.20833,7254.6667,0.0,10000,1,12/28/2024 06:30:00,07:00:00
45654.1875,7316.6,0.0,10000,1,12/28/2024 06:00:00,06:30:00
45654.16667,7174.9667,0.0,10000,1,12/28/2024 05:30:00,06:00:00
45654.14583,7180.4,0.0,10000,1,12/28/2024 05:00:00,05:30:00
45654.125,7144.3,0.0,10000,1,12/28/2024 04:30:00,05:00:00
45654.10417,7128.4667,0.0,10000,1,12/28/2024 04:00:00,04:30:00
45654.08333,7224.6667,0.0,10000,1,12/28/2024 03:30:00,04:00:00
45654.0625,7226.0333,0.0,10000,1,12/28/2024 03:00:00,03:30:00
45654.04167,7314.0667,0.0,10000,1,12/28/2024 02:30:00,03:00:00
45654.02083,7344.6,0.0,10000,1,12/28/2024 02:00:00,02:30:00
45654.0,7441.5667,0.0,10000,1,12/28/2024 01:30:00,02:00:00
45653.97917,7450.4333,0.0,10000,1,12/28/2024 01:00:00,01:30:00
45653.95833,7446.7,0.0,10000,1,12/28/2024 00:30:00,01:00:00
45653.9375,7430.7667,0.0,10000,1,12/28/2024 00:00:00,00:30:00
45653.91667,7584.6333,0.0,10000,1,12/27/2024 23:30:00,00:00:00
45653.89583,7621.3333,0.0,10000,1,12/27/2024 23:00:00,23:30:00
45653.875,7625.7333,0.0,10000,1,12/27/2024 22:30:00,23:00:00
45653.85417,7622.0333,0.0,10000,1,12/27/2024 22:00:00,22:30:00
45653.83333,7649.1,0.0,10000,1,12/27/2024 21:30:00,22:00:00
45653.8125,7684.3333,0.0,10000,1,12/27/2024 21:00:00,21:30:00
45653.79167,7768.8667,0.0,10000,1,12/27/2024 20:30:00,21:00:00
45653.77083,7716.6,0.0,10000,1,12/27/2024 20:00:00,20:30:00
45653.75,7783.6667,0.0,10000,1,12/27/2024 19:30:00,20:00:00
